Drug,Demand_Forecast,Optimal_Stock_Level,Restocking_Strategy,shortage_units,risk_level
Atorvastatin,9675,4918,Quarterly,4757,MEDIUM
Atorvastatin,6406,1649,Monthly,4757,HIGH
Insulin,9702,4946,Quarterly,4756,MEDIUM
Insulin,6660,1904,Monthly,4756,HIGH
Metformin,7286,2530,Weekly,4756,HIGH
Lisinopril,9885,5129,Weekly,4756,MEDIUM
Metformin,7799,3043,Weekly,4756,HIGH
Metformin,8959,4204,Weekly,4755,HIGH
Metformin,6907,2152,Weekly,4755,HIGH
Insulin,8206,3451,Monthly,4755,HIGH
Insulin,8118,3364,Quarterly,4754,HIGH
Metformin,9529,4775,Quarterly,4754,MEDIUM
Lisinopril,6708,1954,Monthly,4754,HIGH
Atorvastatin,8930,4176,Weekly,4754,HIGH
Lisinopril,9405,4651,Weekly,4754,HIGH
Lisinopril,6306,1553,Quarterly,4753,HIGH
Insulin,6584,1831,Quarterly,4753,HIGH
Insulin,9155,4402,Monthly,4753,HIGH
Metformin,8650,3898,Monthly,4752,HIGH
Insulin,6364,1612,Quarterly,4752,HIGH
Lisinopril,7406,2654,Monthly,4752,HIGH
Atorvastatin,9937,5185,Weekly,4752,MEDIUM
Insulin,6706,1954,Quarterly,4752,HIGH
Insulin,9929,5177,Quarterly,4752,MEDIUM
Lisinopril,7818,3067,Quarterly,4751,HIGH
Insulin,7994,3243,Monthly,4751,HIGH
Lisinopril,7245,2495,Monthly,4750,HIGH
Lisinopril,6812,2062,Quarterly,4750,HIGH
Atorvastatin,7521,2771,Quarterly,4750,HIGH
Insulin,7911,3161,Weekly,4750,HIGH
Lisinopril,6690,1940,Quarterly,4750,HIGH
Insulin,6461,1711,Quarterly,4750,HIGH
Metformin,7452,2702,Weekly,4750,HIGH
Atorvastatin,8669,3920,Weekly,4749,HIGH
Insulin,7185,2436,Quarterly,4749,HIGH
Insulin,8647,3898,Monthly,4749,HIGH
Metformin,7871,3122,Quarterly,4749,HIGH
Lisinopril,7314,2565,Monthly,4749,HIGH
Metformin,6407,1659,Quarterly,4748,HIGH
Insulin,8508,3760,Weekly,4748,HIGH
Metformin,9389,4641,Quarterly,4748,HIGH
Lisinopril,9330,4582,Quarterly,4748,HIGH
Metformin,7307,2559,Weekly,4748,HIGH
Metformin,6500,1752,Weekly,4748,HIGH
Metformin,6786,2038,Monthly,4748,HIGH
Insulin,7729,2981,Weekly,4748,HIGH
Metformin,8978,4231,Monthly,4747,HIGH
Insulin,8756,4009,Monthly,4747,HIGH
Atorvastatin,7400,2653,Monthly,4747,HIGH
Insulin,8699,3952,Monthly,4747,HIGH
Insulin,6385,1638,Quarterly,4747,HIGH
Insulin,8059,3312,Quarterly,4747,HIGH
Metformin,8307,3561,Monthly,4746,HIGH
Metformin,8226,3480,Quarterly,4746,HIGH
Lisinopril,8674,3928,Quarterly,4746,HIGH
Atorvastatin,7359,2614,Monthly,4745,HIGH
Metformin,6532,1788,Quarterly,4744,HIGH
Lisinopril,8692,3948,Monthly,4744,HIGH
Lisinopril,7004,2260,Weekly,4744,HIGH
Atorvastatin,9368,4624,Monthly,4744,HIGH
Atorvastatin,9894,5150,Quarterly,4744,MEDIUM
Lisinopril,7579,2836,Quarterly,4743,HIGH
Metformin,7402,2659,Monthly,4743,HIGH
Insulin,9410,4667,Monthly,4743,HIGH
Atorvastatin,8952,4209,Monthly,4743,HIGH
Metformin,7615,2873,Quarterly,4742,HIGH
Atorvastatin,7036,2294,Quarterly,4742,HIGH
Insulin,6323,1581,Quarterly,4742,HIGH
Atorvastatin,7070,2328,Monthly,4742,HIGH
Atorvastatin,7656,2914,Weekly,4742,HIGH
Insulin,9295,4553,Quarterly,4742,HIGH
Insulin,6602,1860,Monthly,4742,HIGH
Atorvastatin,8408,3666,Weekly,4742,HIGH
Lisinopril,7416,2675,Weekly,4741,HIGH
Metformin,7253,2512,Weekly,4741,HIGH
Lisinopril,8474,3733,Weekly,4741,HIGH
Atorvastatin,9565,4824,Quarterly,4741,MEDIUM
Atorvastatin,9500,4759,Weekly,4741,MEDIUM
Metformin,8750,4010,Quarterly,4740,HIGH
Atorvastatin,9702,4962,Weekly,4740,MEDIUM
Metformin,8374,3634,Weekly,4740,HIGH
Metformin,8839,4100,Monthly,4739,HIGH
Insulin,6280,1542,Quarterly,4738,HIGH
Atorvastatin,9746,5008,Monthly,4738,MEDIUM
Insulin,8103,3365,Quarterly,4738,HIGH
Insulin,8454,3716,Quarterly,4738,HIGH
Atorvastatin,8743,4005,Monthly,4738,HIGH
Metformin,6417,1680,Quarterly,4737,HIGH
Atorvastatin,6782,2045,Monthly,4737,HIGH
Metformin,9955,5218,Quarterly,4737,MEDIUM
Lisinopril,6900,2163,Weekly,4737,HIGH
Insulin,9845,5109,Monthly,4736,MEDIUM
Insulin,8236,3500,Monthly,4736,HIGH
Atorvastatin,9698,4962,Weekly,4736,MEDIUM
Metformin,7400,2665,Weekly,4735,HIGH
Lisinopril,8428,3693,Quarterly,4735,HIGH
Lisinopril,9499,4764,Monthly,4735,MEDIUM
Insulin,7272,2537,Weekly,4735,HIGH
Atorvastatin,7621,2886,Monthly,4735,HIGH
Atorvastatin,9720,4986,Weekly,4734,MEDIUM
Atorvastatin,8150,3416,Weekly,4734,HIGH
Insulin,8326,3592,Weekly,4734,HIGH
Metformin,6562,1828,Monthly,4734,HIGH
Atorvastatin,8721,3987,Monthly,4734,HIGH
Atorvastatin,8287,3553,Quarterly,4734,HIGH
Metformin,6256,1523,Monthly,4733,HIGH
Lisinopril,8075,3342,Monthly,4733,HIGH
Atorvastatin,7465,2732,Weekly,4733,HIGH
Insulin,8838,4106,Weekly,4732,HIGH
Insulin,9202,4470,Weekly,4732,HIGH
Atorvastatin,8874,4142,Quarterly,4732,HIGH
Insulin,9302,4570,Monthly,4732,HIGH
Lisinopril,7595,2863,Weekly,4732,HIGH
Lisinopril,8691,3960,Weekly,4731,HIGH
Metformin,7242,2511,Monthly,4731,HIGH
Lisinopril,8300,3569,Weekly,4731,HIGH
Atorvastatin,8056,3325,Monthly,4731,HIGH
Insulin,6339,1609,Quarterly,4730,HIGH
Atorvastatin,7544,2814,Monthly,4730,HIGH
Lisinopril,8141,3411,Monthly,4730,HIGH
Metformin,8410,3680,Quarterly,4730,HIGH
Atorvastatin,8634,3904,Monthly,4730,HIGH
Atorvastatin,6950,2221,Quarterly,4729,HIGH
Atorvastatin,9082,4353,Quarterly,4729,HIGH
Insulin,8059,3330,Quarterly,4729,HIGH
Metformin,7425,2696,Monthly,4729,HIGH
Atorvastatin,6274,1546,Monthly,4728,HIGH
Lisinopril,9413,4685,Monthly,4728,HIGH
Lisinopril,8269,3541,Monthly,4728,HIGH
Atorvastatin,9852,5124,Weekly,4728,MEDIUM
Metformin,9576,4849,Weekly,4727,MEDIUM
Atorvastatin,6854,2127,Quarterly,4727,HIGH
Metformin,6641,1914,Quarterly,4727,HIGH
Lisinopril,8329,3602,Weekly,4727,HIGH
Lisinopril,6906,2179,Quarterly,4727,HIGH
Lisinopril,7764,3037,Weekly,4727,HIGH
Metformin,6585,1858,Monthly,4727,HIGH
Atorvastatin,8047,3321,Quarterly,4726,HIGH
Atorvastatin,7534,2808,Weekly,4726,HIGH
Lisinopril,9151,4425,Quarterly,4726,HIGH
Metformin,7292,2567,Quarterly,4725,HIGH
Insulin,9214,4489,Monthly,4725,HIGH
Atorvastatin,9510,4785,Weekly,4725,MEDIUM
Lisinopril,7647,2922,Quarterly,4725,HIGH
Metformin,9827,5102,Monthly,4725,MEDIUM
Metformin,6893,2168,Monthly,4725,HIGH
Metformin,7892,3168,Weekly,4724,HIGH
Metformin,8689,3965,Monthly,4724,HIGH
Atorvastatin,7319,2595,Quarterly,4724,HIGH
Atorvastatin,8955,4231,Quarterly,4724,HIGH
Atorvastatin,8398,3675,Weekly,4723,HIGH
Lisinopril,7252,2530,Quarterly,4722,HIGH
Metformin,8611,3889,Weekly,4722,HIGH
Atorvastatin,6894,2172,Monthly,4722,HIGH
Atorvastatin,9264,4543,Quarterly,4721,HIGH
Metformin,9431,4710,Quarterly,4721,HIGH
Atorvastatin,7095,2375,Weekly,4720,HIGH
Insulin,6865,2145,Weekly,4720,HIGH
Atorvastatin,9391,4671,Monthly,4720,HIGH
Insulin,9325,4605,Weekly,4720,HIGH
Lisinopril,8328,3608,Monthly,4720,HIGH
Insulin,7627,2907,Weekly,4720,HIGH
Atorvastatin,9380,4660,Monthly,4720,HIGH
Insulin,9977,5258,Weekly,4719,MEDIUM
Atorvastatin,9909,5190,Weekly,4719,MEDIUM
Lisinopril,8473,3754,Monthly,4719,HIGH
Insulin,8743,4024,Quarterly,4719,HIGH
Atorvastatin,6769,2050,Monthly,4719,HIGH
Atorvastatin,9241,4522,Monthly,4719,HIGH
Lisinopril,7459,2741,Quarterly,4718,HIGH
Lisinopril,7557,2839,Weekly,4718,HIGH
Insulin,9877,5160,Weekly,4717,MEDIUM
Atorvastatin,6582,1865,Quarterly,4717,HIGH
Lisinopril,7099,2382,Quarterly,4717,HIGH
Insulin,8855,4138,Quarterly,4717,HIGH
Insulin,7504,2788,Quarterly,4716,HIGH
Atorvastatin,7198,2482,Quarterly,4716,HIGH
Lisinopril,9195,4479,Monthly,4716,HIGH
Atorvastatin,6470,1754,Monthly,4716,HIGH
Insulin,8955,4240,Weekly,4715,HIGH
Atorvastatin,8220,3505,Monthly,4715,HIGH
Insulin,9611,4896,Monthly,4715,MEDIUM
Insulin,7613,2898,Quarterly,4715,HIGH
Metformin,6759,2045,Monthly,4714,HIGH
Metformin,7773,3059,Quarterly,4714,HIGH
Metformin,7622,2908,Weekly,4714,HIGH
Lisinopril,7954,3240,Monthly,4714,HIGH
Metformin,9080,4366,Weekly,4714,HIGH
Atorvastatin,8116,3402,Quarterly,4714,HIGH
Insulin,8578,3865,Quarterly,4713,HIGH
Insulin,8965,4252,Weekly,4713,HIGH
Metformin,9381,4668,Monthly,4713,HIGH
Metformin,6550,1838,Monthly,4712,HIGH
Lisinopril,7735,3023,Quarterly,4712,HIGH
Atorvastatin,9425,4713,Quarterly,4712,MEDIUM
Lisinopril,7109,2397,Weekly,4712,HIGH
Metformin,8191,3479,Quarterly,4712,HIGH
Metformin,9404,4692,Monthly,4712,HIGH
Insulin,8768,4057,Monthly,4711,HIGH
Lisinopril,9365,4654,Monthly,4711,HIGH
Atorvastatin,8251,3540,Weekly,4711,HIGH
Metformin,7128,2418,Monthly,4710,HIGH
Lisinopril,9489,4779,Quarterly,4710,MEDIUM
Insulin,7934,3224,Weekly,4710,HIGH
Metformin,7568,2858,Monthly,4710,HIGH
Atorvastatin,8180,3470,Weekly,4710,HIGH
Atorvastatin,6331,1621,Weekly,4710,HIGH
Insulin,7652,2942,Monthly,4710,HIGH
Atorvastatin,9179,4470,Weekly,4709,HIGH
Metformin,6979,2270,Quarterly,4709,HIGH
Atorvastatin,8887,4178,Quarterly,4709,HIGH
Atorvastatin,9666,4957,Quarterly,4709,MEDIUM
Atorvastatin,7453,2745,Quarterly,4708,HIGH
Lisinopril,9016,4308,Monthly,4708,HIGH
Insulin,8226,3518,Weekly,4708,HIGH
Insulin,7247,2540,Quarterly,4707,HIGH
Metformin,8356,3649,Weekly,4707,HIGH
Insulin,7378,2671,Monthly,4707,HIGH
Lisinopril,9075,4368,Quarterly,4707,HIGH
Atorvastatin,8209,3502,Monthly,4707,HIGH
Lisinopril,9040,4334,Quarterly,4706,HIGH
Metformin,9878,5172,Weekly,4706,MEDIUM
Insulin,7757,3052,Monthly,4705,HIGH
Insulin,8101,3396,Weekly,4705,HIGH
Metformin,7407,2702,Quarterly,4705,HIGH
Metformin,6674,1969,Weekly,4705,HIGH
Lisinopril,8692,3987,Quarterly,4705,HIGH
Insulin,6717,2013,Monthly,4704,HIGH
Lisinopril,9339,4635,Monthly,4704,HIGH
Insulin,8726,4022,Monthly,4704,HIGH
Metformin,9421,4717,Weekly,4704,MEDIUM
Metformin,7202,2498,Weekly,4704,HIGH
Insulin,9954,5250,Quarterly,4704,MEDIUM
Metformin,7849,3146,Quarterly,4703,HIGH
Metformin,9983,5280,Weekly,4703,MEDIUM
Metformin,6976,2273,Monthly,4703,HIGH
Insulin,8748,4045,Weekly,4703,HIGH
Insulin,7269,2566,Quarterly,4703,HIGH
Lisinopril,8501,3798,Quarterly,4703,HIGH
Insulin,7335,2632,Weekly,4703,HIGH
Lisinopril,9450,4748,Weekly,4702,MEDIUM
Lisinopril,9265,4563,Quarterly,4702,HIGH
Atorvastatin,9454,4753,Monthly,4701,MEDIUM
Atorvastatin,9303,4602,Monthly,4701,HIGH
Metformin,6913,2212,Monthly,4701,HIGH
Metformin,7273,2573,Quarterly,4700,HIGH
Metformin,9461,4761,Monthly,4700,MEDIUM
Atorvastatin,8788,4089,Weekly,4699,HIGH
Metformin,8460,3761,Monthly,4699,HIGH
Metformin,8234,3535,Quarterly,4699,HIGH
Lisinopril,9053,4354,Monthly,4699,HIGH
Atorvastatin,8977,4278,Monthly,4699,HIGH
Lisinopril,6731,2032,Quarterly,4699,HIGH
Atorvastatin,7441,2742,Weekly,4699,HIGH
Metformin,8283,3585,Quarterly,4698,HIGH
Lisinopril,6858,2161,Quarterly,4697,HIGH
Insulin,8589,3892,Weekly,4697,HIGH
Insulin,6373,1676,Monthly,4697,HIGH
Lisinopril,6912,2215,Quarterly,4697,HIGH
Insulin,8640,3943,Weekly,4697,HIGH
Atorvastatin,8521,3824,Weekly,4697,HIGH
Insulin,7833,3136,Monthly,4697,HIGH
Metformin,7898,3201,Quarterly,4697,HIGH
Atorvastatin,6625,1928,Monthly,4697,HIGH
Atorvastatin,6251,1554,Weekly,4697,HIGH
Metformin,8511,3815,Weekly,4696,HIGH
Metformin,9853,5157,Monthly,4696,MEDIUM
Lisinopril,6246,1550,Monthly,4696,HIGH
Insulin,7545,2849,Monthly,4696,HIGH
Insulin,7064,2368,Quarterly,4696,HIGH
Atorvastatin,8685,3990,Monthly,4695,HIGH
Lisinopril,9040,4345,Monthly,4695,HIGH
Atorvastatin,8298,3603,Weekly,4695,HIGH
Atorvastatin,6601,1906,Quarterly,4695,HIGH
Lisinopril,9200,4505,Monthly,4695,HIGH
Insulin,8284,3590,Weekly,4694,HIGH
Metformin,7991,3297,Weekly,4694,HIGH
Lisinopril,8541,3847,Quarterly,4694,HIGH
Insulin,9806,5113,Quarterly,4693,MEDIUM
Metformin,9461,4768,Monthly,4693,MEDIUM
Lisinopril,9520,4828,Quarterly,4692,MEDIUM
Lisinopril,9083,4391,Quarterly,4692,HIGH
Insulin,7225,2533,Quarterly,4692,HIGH
Insulin,7153,2461,Weekly,4692,HIGH
Metformin,8223,3531,Monthly,4692,HIGH
Metformin,9439,4747,Monthly,4692,MEDIUM
Insulin,9045,4354,Quarterly,4691,HIGH
Insulin,6467,1776,Quarterly,4691,HIGH
Atorvastatin,8635,3944,Monthly,4691,HIGH
Atorvastatin,7712,3021,Quarterly,4691,HIGH
Lisinopril,9095,4405,Quarterly,4690,HIGH
Lisinopril,7772,3083,Monthly,4689,HIGH
Atorvastatin,9541,4852,Monthly,4689,MEDIUM
Metformin,6676,1987,Monthly,4689,HIGH
Metformin,7664,2975,Weekly,4689,HIGH
Insulin,7886,3197,Monthly,4689,HIGH
Insulin,9274,4585,Weekly,4689,HIGH
Atorvastatin,9405,4717,Monthly,4688,MEDIUM
Atorvastatin,6877,2189,Weekly,4688,HIGH
Lisinopril,7586,2898,Monthly,4688,HIGH
Insulin,9141,4453,Monthly,4688,HIGH
Atorvastatin,6224,1536,Weekly,4688,HIGH
Lisinopril,9849,5162,Monthly,4687,MEDIUM
Metformin,6341,1654,Weekly,4687,HIGH
Insulin,7773,3086,Weekly,4687,HIGH
Lisinopril,9740,5053,Weekly,4687,MEDIUM
Insulin,6837,2151,Weekly,4686,HIGH
Metformin,7370,2684,Weekly,4686,HIGH
Lisinopril,9241,4555,Monthly,4686,HIGH
Lisinopril,8142,3457,Monthly,4685,HIGH
Metformin,6577,1892,Weekly,4685,HIGH
Atorvastatin,7027,2342,Weekly,4685,HIGH
Atorvastatin,7851,3166,Quarterly,4685,HIGH
Insulin,8693,4008,Quarterly,4685,HIGH
Lisinopril,7869,3184,Monthly,4685,HIGH
Atorvastatin,7199,2514,Weekly,4685,HIGH
Metformin,8075,3390,Quarterly,4685,HIGH
Lisinopril,6669,1984,Weekly,4685,HIGH
Metformin,9825,5141,Monthly,4684,MEDIUM
Metformin,6742,2058,Weekly,4684,HIGH
Atorvastatin,8191,3507,Weekly,4684,HIGH
Metformin,9869,5186,Quarterly,4683,MEDIUM
Metformin,6839,2156,Weekly,4683,HIGH
Metformin,8134,3451,Monthly,4683,HIGH
Atorvastatin,8400,3717,Weekly,4683,HIGH
Atorvastatin,6645,1963,Quarterly,4682,HIGH
Metformin,9352,4670,Quarterly,4682,HIGH
Atorvastatin,7591,2909,Monthly,4682,HIGH
Metformin,8064,3382,Quarterly,4682,HIGH
Atorvastatin,9576,4894,Weekly,4682,MEDIUM
Atorvastatin,9419,4737,Weekly,4682,MEDIUM
Atorvastatin,9013,4332,Quarterly,4681,HIGH
Insulin,7064,2383,Weekly,4681,HIGH
Metformin,7681,3001,Weekly,4680,HIGH
Lisinopril,8480,3800,Monthly,4680,HIGH
Atorvastatin,8821,4141,Weekly,4680,HIGH
Insulin,8095,3415,Quarterly,4680,HIGH
Metformin,8467,3788,Weekly,4679,HIGH
Atorvastatin,7089,2410,Weekly,4679,HIGH
Lisinopril,7481,2802,Quarterly,4679,HIGH
Insulin,7407,2728,Weekly,4679,HIGH
Insulin,6468,1790,Monthly,4678,HIGH
Atorvastatin,7233,2555,Quarterly,4678,HIGH
Lisinopril,7868,3190,Quarterly,4678,HIGH
Lisinopril,6314,1636,Monthly,4678,HIGH
Lisinopril,7709,3031,Weekly,4678,HIGH
Metformin,7902,3224,Monthly,4678,HIGH
Atorvastatin,6456,1779,Quarterly,4677,HIGH
Metformin,7335,2658,Quarterly,4677,HIGH
Metformin,7505,2828,Weekly,4677,HIGH
Atorvastatin,7820,3144,Weekly,4676,HIGH
Atorvastatin,6725,2049,Monthly,4676,HIGH
Metformin,6745,2069,Monthly,4676,HIGH
Lisinopril,8262,3586,Quarterly,4676,HIGH
Lisinopril,8330,3655,Quarterly,4675,HIGH
Atorvastatin,7670,2995,Quarterly,4675,HIGH
Atorvastatin,6908,2233,Monthly,4675,HIGH
Metformin,7503,2828,Weekly,4675,HIGH
Lisinopril,9374,4699,Monthly,4675,MEDIUM
Metformin,6546,1871,Monthly,4675,HIGH
Lisinopril,9238,4564,Quarterly,4674,HIGH
Insulin,8639,3965,Monthly,4674,HIGH
Atorvastatin,6827,2153,Monthly,4674,HIGH
Lisinopril,7172,2498,Monthly,4674,HIGH
Insulin,7004,2330,Weekly,4674,HIGH
Metformin,9612,4939,Monthly,4673,MEDIUM
Metformin,8742,4069,Weekly,4673,HIGH
Insulin,9318,4645,Weekly,4673,HIGH
Metformin,8466,3793,Quarterly,4673,HIGH
Insulin,6438,1765,Quarterly,4673,HIGH
Lisinopril,7453,2780,Weekly,4673,HIGH
Lisinopril,8335,3662,Monthly,4673,HIGH
Atorvastatin,7783,3111,Quarterly,4672,HIGH
Metformin,9440,4768,Weekly,4672,MEDIUM
Metformin,7635,2963,Monthly,4672,HIGH
Lisinopril,6544,1873,Quarterly,4671,HIGH
Atorvastatin,7475,2805,Monthly,4670,HIGH
Metformin,9823,5153,Weekly,4670,MEDIUM
Metformin,6360,1690,Monthly,4670,HIGH
Metformin,9607,4937,Quarterly,4670,MEDIUM
Lisinopril,7980,3310,Monthly,4670,HIGH
Insulin,7715,3045,Monthly,4670,HIGH
Lisinopril,8955,4285,Weekly,4670,HIGH
Atorvastatin,8424,3755,Weekly,4669,HIGH
Insulin,7606,2937,Monthly,4669,HIGH
Atorvastatin,9232,4563,Weekly,4669,HIGH
Metformin,9475,4806,Quarterly,4669,MEDIUM
Lisinopril,7802,3133,Quarterly,4669,HIGH
Lisinopril,7160,2491,Weekly,4669,HIGH
Lisinopril,6434,1765,Weekly,4669,HIGH
Atorvastatin,8184,3516,Monthly,4668,HIGH
Atorvastatin,8715,4047,Weekly,4668,HIGH
Insulin,8754,4087,Quarterly,4667,HIGH
Metformin,9585,4918,Quarterly,4667,MEDIUM
Lisinopril,7197,2530,Quarterly,4667,HIGH
Insulin,9406,4739,Quarterly,4667,MEDIUM
Metformin,7493,2826,Quarterly,4667,HIGH
Insulin,8452,3786,Weekly,4666,HIGH
Atorvastatin,8287,3621,Quarterly,4666,HIGH
Insulin,7521,2855,Monthly,4666,HIGH
Atorvastatin,8158,3492,Monthly,4666,HIGH
Metformin,8620,3954,Weekly,4666,HIGH
Lisinopril,8015,3350,Weekly,4665,HIGH
Atorvastatin,8295,3630,Weekly,4665,HIGH
Atorvastatin,8632,3967,Quarterly,4665,HIGH
Atorvastatin,8476,3811,Weekly,4665,HIGH
Lisinopril,6252,1587,Weekly,4665,HIGH
Metformin,7967,3303,Weekly,4664,HIGH
Metformin,7097,2433,Weekly,4664,HIGH
Insulin,6463,1799,Weekly,4664,HIGH
Lisinopril,7178,2514,Monthly,4664,HIGH
Metformin,6903,2239,Monthly,4664,HIGH
Atorvastatin,6852,2188,Weekly,4664,HIGH
Metformin,8920,4257,Quarterly,4663,HIGH
Atorvastatin,6192,1529,Weekly,4663,HIGH
Atorvastatin,8930,4267,Quarterly,4663,HIGH
Insulin,7798,3135,Weekly,4663,HIGH
Lisinopril,6654,1991,Quarterly,4663,HIGH
Metformin,9434,4771,Quarterly,4663,MEDIUM
Lisinopril,6956,2293,Monthly,4663,HIGH
Metformin,7114,2451,Monthly,4663,HIGH
Atorvastatin,7544,2881,Weekly,4663,HIGH
Metformin,8208,3546,Quarterly,4662,HIGH
Insulin,9825,5163,Monthly,4662,MEDIUM
Metformin,6305,1643,Weekly,4662,HIGH
Lisinopril,9836,5174,Quarterly,4662,MEDIUM
Atorvastatin,8973,4312,Weekly,4661,HIGH
Lisinopril,8791,4130,Weekly,4661,HIGH
Atorvastatin,9030,4369,Quarterly,4661,HIGH
Insulin,7944,3283,Weekly,4661,HIGH
Lisinopril,8403,3742,Weekly,4661,HIGH
Lisinopril,8383,3722,Quarterly,4661,HIGH
Insulin,8584,3924,Quarterly,4660,HIGH
Lisinopril,8640,3980,Weekly,4660,HIGH
Atorvastatin,6388,1728,Quarterly,4660,HIGH
Insulin,6412,1752,Monthly,4660,HIGH
Insulin,9105,4445,Weekly,4660,HIGH
Lisinopril,8645,3986,Monthly,4659,HIGH
Metformin,8239,3580,Quarterly,4659,HIGH
Insulin,8558,3899,Weekly,4659,HIGH
Lisinopril,6894,2235,Monthly,4659,HIGH
Metformin,6668,2009,Weekly,4659,HIGH
Lisinopril,8972,4313,Monthly,4659,HIGH
Atorvastatin,8015,3357,Monthly,4658,HIGH
Atorvastatin,9937,5279,Quarterly,4658,MEDIUM
Metformin,7803,3145,Quarterly,4658,HIGH
Metformin,7859,3201,Quarterly,4658,HIGH
Insulin,7304,2646,Monthly,4658,HIGH
Lisinopril,6698,2041,Monthly,4657,HIGH
Insulin,8045,3388,Quarterly,4657,HIGH
Atorvastatin,9660,5003,Quarterly,4657,MEDIUM
Atorvastatin,6384,1727,Quarterly,4657,HIGH
Lisinopril,7261,2605,Monthly,4656,HIGH
Atorvastatin,6917,2261,Weekly,4656,HIGH
Metformin,8320,3664,Monthly,4656,HIGH
Lisinopril,8643,3987,Weekly,4656,HIGH
Atorvastatin,7779,3123,Quarterly,4656,HIGH
Lisinopril,7016,2361,Weekly,4655,HIGH
Lisinopril,9914,5260,Weekly,4654,MEDIUM
Metformin,8664,4010,Quarterly,4654,HIGH
Insulin,8641,3987,Weekly,4654,HIGH
Metformin,8490,3836,Weekly,4654,HIGH
Atorvastatin,7901,3248,Monthly,4653,HIGH
Atorvastatin,7819,3166,Monthly,4653,HIGH
Insulin,7038,2385,Weekly,4653,HIGH
Insulin,6396,1743,Monthly,4653,HIGH
Metformin,7316,2663,Monthly,4653,HIGH
Lisinopril,7709,3056,Weekly,4653,HIGH
Atorvastatin,9977,5324,Monthly,4653,MEDIUM
Atorvastatin,6978,2326,Quarterly,4652,HIGH
Atorvastatin,9481,4829,Monthly,4652,MEDIUM
Lisinopril,7101,2449,Monthly,4652,HIGH
Lisinopril,6500,1849,Weekly,4651,HIGH
Insulin,9875,5224,Monthly,4651,MEDIUM
Atorvastatin,8652,4001,Quarterly,4651,HIGH
Metformin,9583,4932,Monthly,4651,MEDIUM
Atorvastatin,7903,3252,Weekly,4651,HIGH
Lisinopril,9104,4454,Weekly,4650,HIGH
Metformin,8292,3642,Monthly,4650,HIGH
Lisinopril,9318,4668,Monthly,4650,MEDIUM
Insulin,7076,2426,Quarterly,4650,HIGH
Lisinopril,8762,4113,Quarterly,4649,HIGH
Atorvastatin,6955,2306,Monthly,4649,HIGH
Insulin,9620,4971,Weekly,4649,MEDIUM
Insulin,8686,4038,Quarterly,4648,HIGH
Lisinopril,8608,3960,Monthly,4648,HIGH
Atorvastatin,6332,1684,Quarterly,4648,HIGH
Lisinopril,7652,3004,Quarterly,4648,HIGH
Metformin,7031,2383,Weekly,4648,HIGH
Insulin,7919,3271,Monthly,4648,HIGH
Metformin,6726,2078,Monthly,4648,HIGH
Lisinopril,6216,1569,Quarterly,4647,HIGH
Insulin,7702,3055,Quarterly,4647,HIGH
Lisinopril,6888,2241,Quarterly,4647,HIGH
Metformin,9589,4942,Quarterly,4647,MEDIUM
Atorvastatin,6504,1858,Quarterly,4646,HIGH
Atorvastatin,7406,2760,Monthly,4646,HIGH
Metformin,6830,2184,Quarterly,4646,HIGH
Insulin,8444,3798,Monthly,4646,HIGH
Insulin,6541,1895,Weekly,4646,HIGH
Atorvastatin,7341,2696,Weekly,4645,HIGH
Lisinopril,6271,1626,Quarterly,4645,HIGH
Insulin,9998,5354,Weekly,4644,MEDIUM
Lisinopril,6231,1587,Weekly,4644,HIGH
Lisinopril,6625,1982,Monthly,4643,HIGH
Insulin,7461,2818,Weekly,4643,HIGH
Atorvastatin,7152,2509,Monthly,4643,HIGH
Atorvastatin,9883,5240,Quarterly,4643,MEDIUM
Insulin,9997,5355,Weekly,4642,MEDIUM
Insulin,8527,3885,Weekly,4642,HIGH
Metformin,9023,4381,Weekly,4642,HIGH
Lisinopril,6646,2004,Monthly,4642,HIGH
Insulin,6854,2213,Monthly,4641,HIGH
Atorvastatin,7639,2998,Weekly,4641,HIGH
Atorvastatin,6414,1773,Weekly,4641,HIGH
Metformin,9071,4430,Quarterly,4641,HIGH
Insulin,9427,4786,Quarterly,4641,MEDIUM
Metformin,8221,3581,Monthly,4640,HIGH
Metformin,6792,2152,Weekly,4640,HIGH
Lisinopril,7534,2894,Monthly,4640,HIGH
Metformin,6905,2266,Quarterly,4639,HIGH
Insulin,8584,3945,Weekly,4639,HIGH
Lisinopril,7387,2748,Quarterly,4639,HIGH
Atorvastatin,9935,5296,Monthly,4639,MEDIUM
Metformin,9276,4637,Weekly,4639,HIGH
Atorvastatin,6729,2090,Weekly,4639,HIGH
Metformin,7299,2660,Monthly,4639,HIGH
Lisinopril,8913,4274,Monthly,4639,HIGH
Lisinopril,8118,3480,Quarterly,4638,HIGH
Metformin,8177,3539,Weekly,4638,HIGH
Insulin,8512,3874,Weekly,4638,HIGH
Metformin,7410,2772,Monthly,4638,HIGH
Insulin,8755,4118,Monthly,4637,HIGH
Insulin,8828,4191,Weekly,4637,HIGH
Insulin,6956,2319,Monthly,4637,HIGH
Lisinopril,7070,2433,Monthly,4637,HIGH
Atorvastatin,6202,1565,Weekly,4637,HIGH
Insulin,9369,4732,Quarterly,4637,MEDIUM
Insulin,6621,1985,Monthly,4636,HIGH
